time,position,bar_height,experiment,velocity,acceleration
0.634,0.241,0.165,8,0.36363636363636365,
0.667,0.253,0.165,8,,
4.271,0.194,0.126,9,0.0,0.8912655971479461
4.304,0.194,0.126,9,0.029411764705882543,0.917479291181695
4.338,0.195,0.126,9,0.06060606060606,4.9413335376308506e-14
4.371,0.197,0.126,9,0.06060606060606163,1.7285150974990744
4.404,0.199,0.126,9,0.11764705882353017,0.10485477613497042
4.438,0.203,0.126,9,0.12121212121211915,0.7832334035543419
4.471,0.207,0.126,9,0.1470588235294127,0.13106847016874426
4.505,0.212,0.126,9,0.15151515151515,1.8365472910928795
4.538,0.217,0.126,9,0.21212121212121568,-0.1890563387891922
4.571,0.224,0.126,9,0.20588235294117244,1.0747614553844842
4.605,0.231,0.126,9,0.24242424242424565,
4.638,0.239,0.126,9,,
0.2,0.194,0.127,10,0.0,0.8912655971479507
0.234,0.194,0.127,10,0.030303030303030328,7.359432928386454e-16
0.267,0.195,0.127,10,0.030303030303030352,0.8642575487495265
0.3,0.196,0.127,10,0.058823529411764705,0.9436929852154803
0.334,0.198,0.127,10,0.09090909090909106,0.9182736455463433
0.367,0.201,0.127,10,0.12121212121212037,0.7832334035542909
0.4,0.205,0.127,10,0.147058823529412,2.0686023770121804
0.434,0.21,0.127,10,0.21739130434782608,-2.3739394205829227
0.457,0.215,0.127,10,0.1627906976744188,1.6861260458753498
0.5,0.222,0.127,10,0.23529411764705882,
0.534,0.23,0.127,10,,
